,index,Date,Result,Move_Count,Time_Control,Game_Link,My_Rating,Opponent_Rating,Opponent_Country,Opponent_Name,Color_Played,My_Rating_Moving_Average
1,213,2020-02-28,win,20,3 min,https://www.chess.com/analysis/game/live/4544859009,2406,2369,Romania,mihaiionescu,black,2407.4285714285716
2,212,2020-02-28,draw,61,3 min,https://www.chess.com/analysis/game/live/4545732328,2404,2311,Singapore,mkwc,white,2409.4285714285716
3,211,2020-02-28,loss,41,3 min,https://www.chess.com/analysis/game/live/4545743506,2394,2321,Singapore,mkwc,black,2410.1428571428573
4,210,2020-03-01,win,39,3 min,https://www.chess.com/analysis/game/live/4551774126,2401,2365,Russia,dtaushev,white,2413.4285714285716
5,209,2020-03-01,win,32,3 min,https://www.chess.com/analysis/game/live/4551790156,2410,2426,Kazakhstan,sergeikim,black,2417.0
6,208,2020-03-01,win,23,3 min,https://www.chess.com/analysis/game/live/4551801998,2423,2620,Galicia,biostatistician,white,2418.1428571428573
7,207,2020-03-01,loss,37,3 min,https://www.chess.com/analysis/game/live/4551817621,2414,2393,Poland,Savagelittlemole,black,2416.4285714285716
8,206,2020-03-01,win,24,3 min,https://www.chess.com/analysis/game/live/4551832895,2420,2301,France,Kachkarov,white,2416.714285714286
9,205,2020-03-01,loss,36,3 min,https://www.chess.com/analysis/game/live/4551844708,2409,2312,France,Kachkarov,black,2417.285714285714
10,204,2020-03-01,win,36,3 min,https://www.chess.com/analysis/game/live/4551926690,2417,2383,Poland,Savagelittlemole,white,2418.1428571428573
11,203,2020-03-01,win,65,3 min,https://www.chess.com/analysis/game/live/4551940942,2426,2470,France,ykam78,white,2418.714285714286
12,202,2020-03-01,loss,16,3 min,https://www.chess.com/analysis/game/live/4551955393,2418,2445,France,soupeOchoux,black,2417.5714285714284
13,201,2020-03-01,loss,32,3 min,https://www.chess.com/analysis/game/live/4551960300,2411,2452,France,soupeOchoux,white,2416.1428571428573
14,200,2020-03-02,win,38,3 min,https://www.chess.com/analysis/game/live/4554874415,2416,2267,Czech Republic,parboss,black,2416.5714285714284
15,199,2020-03-02,win,46,3 min,https://www.chess.com/analysis/game/live/4554892885,2424,2415,Iran,Megamind999,white,2417.1428571428573
16,198,2020-03-02,loss,53,3 min,https://www.chess.com/analysis/game/live/4554913736,2415,2398,Kazakhstan,Ona_tebya_sozhret,black,2415.4285714285716
17,197,2020-03-02,win,27,3 min,https://www.chess.com/analysis/game/live/4554933274,2421,2330,United States,dumbdonkey22,white,2416.285714285714
18,196,2020-03-02,draw,54,3 min,https://www.chess.com/analysis/game/live/4554950611,2418,2304,Russia,CherenkovAndrey,black,2417.4285714285716
19,195,2020-03-02,loss,29,3 min,https://www.chess.com/analysis/game/live/4555046421,2408,2358,Germany,DerKoppy,white,2420.1428571428573
20,194,2020-03-02,win,26,3 min,https://www.chess.com/analysis/game/live/4555060223,2414,2317,United States,FriedrichII,black,2424.0
21,193,2020-03-02,win,60,3 min,https://www.chess.com/analysis/game/live/4555067922,2420,2311,United States,FriedrichII,white,2427.4285714285716
22,192,2020-03-02,loss,58,3 min,https://www.chess.com/analysis/game/live/4555085825,2412,2438,United States,MattyDPerrine,white,2431.8571428571427
23,191,2020-03-02,win,35,3 min,https://www.chess.com/analysis/game/live/4555101870,2421,2429,United States,MattyDPerrine,black,2437.0
24,190,2020-03-02,win,53,3 min,https://www.chess.com/analysis/game/live/4555116617,2429,2421,United States,MattyDPerrine,white,2440.4285714285716
25,189,2020-03-02,win,59,3 min,https://www.chess.com/analysis/game/live/4555131499,2437,2413,United States,MattyDPerrine,black,2443.285714285714
26,188,2020-03-03,loss,42,3|1,https://www.chess.com/analysis/game/live/4558119591,2435,2826,Russia,Rsnr,black,2444.4285714285716
27,187,2020-03-03,win,37,3|1,https://www.chess.com/analysis/game/live/4558155291,2438,2182,Hungary,MLev0907,white,2446.5714285714284
28,186,2020-03-03,win,46,3|1,https://www.chess.com/analysis/game/live/4558184314,2451,2664,Vietnam,Carnivoras,black,2448.714285714286
29,185,2020-03-03,loss,27,3|1,https://www.chess.com/analysis/game/live/4558213583,2448,2689,Russia,Lovkov_Roman,black,2447.4285714285716
30,184,2020-03-03,loss,59,3|1,https://www.chess.com/analysis/game/live/4558245697,2445,2677,International,Abund,white,2445.4285714285716
31,183,2020-03-03,win,23,3|1,https://www.chess.com/analysis/game/live/4558274078,2449,2258,Canada,AnthonyAtanasov,white,2445.0
32,182,2020-03-03,loss,56,3|1,https://www.chess.com/analysis/game/live/4558310383,2445,2671,Netherlands,RoelandPruijssers,black,2445.0
33,181,2020-03-03,win,74,3|1,https://www.chess.com/analysis/game/live/4558360322,2450,2314,United Kingdom,davigator,black,2446.4285714285716
34,180,2020-03-03,win,1,3|1,https://www.chess.com/live/game/4558389204?username=e4ofhearts,2453,2218,Ireland,secretsuperstar7,white,2448.0
35,151,2020-03-04,loss,62,3 min,https://www.chess.com/analysis/game/live/4561189085,2442,2311,Serbia,sinisa75,white,2447.714285714286
36,150,2020-03-04,loss,39,3 min,https://www.chess.com/analysis/game/live/4561209806,2434,2441,India,Biswajeet2040,black,2449.8571428571427
37,149,2020-03-04,win,29,3 min,https://www.chess.com/analysis/game/live/4561227900,2442,2433,India,Biswajeet2040,white,2453.8571428571427
38,148,2020-03-04,win,48,3 min,https://www.chess.com/analysis/game/live/4561242690,2449,2401,Russia,Harry_Greb,white,2457.4285714285716
39,147,2020-03-04,win,59,3 min,https://www.chess.com/analysis/game/live/4561260448,2455,2367,Bulgaria,stoqnstoqnov23,black,2460.714285714286
40,146,2020-03-04,win,55,3 min,https://www.chess.com/analysis/game/live/4561280694,2461,2361,Bulgaria,stoqnstoqnov23,white,2462.714285714286
41,145,2020-03-04,loss,33,3 min,https://www.chess.com/analysis/game/live/4561309576,2451,2381,Ukraine,chenrip,white,2462.8571428571427
42,144,2020-03-04,win,69,3 min,https://www.chess.com/analysis/game/live/4561326166,2457,2341,United States,Johndoe1988,black,2465.714285714286
43,143,2020-03-04,win,18,3 min,https://www.chess.com/analysis/game/live/4561344437,2462,2336,United States,Johndoe1988,white,2466.1428571428573
44,142,2020-03-04,win,33,3 min,https://www.chess.com/analysis/game/live/4561368321,2467,2317,Italy,ZioMario,white,2466.714285714286
45,141,2020-03-04,win,40,3 min,https://www.chess.com/analysis/game/live/4561385798,2472,2312,Italy,ZioMario,black,2467.285714285714
